,fields.item_name,fields.brand_name,healthy,clean_item_name,filtered_item_name
611,Garden Chicken *Local Specialty* - Rectangle Slice,Pizza Hut,1,"['garden', 'chicken', 'local', 'specialty', 'rectangle', 'slice']","['garden', 'chicken', 'local', 'specialti', 'rectangl', 'slice']"
612,Garden Fresh *Local Specialty* - Small Hand Tossed Slice,Pizza Hut,1,"['garden', 'fresh', 'local', 'specialty', 'small', 'hand', 'tossed', 'slice']","['garden', 'fresh', 'local', 'specialti', 'small', 'hand', 'toss', 'slice']"
613,Badger Special *Local Specialty* - Medium Hand Tossed Slice,Pizza Hut,1,"['badger', 'special', 'local', 'specialty', 'medium', 'hand', 'tossed', 'slice']","['badger', 'special', 'local', 'specialti', 'medium', 'hand', 'toss', 'slice']"
614,Hawaiian *Local Specialty* - Large Hand Tossed Slice,Pizza Hut,1,"['hawaiian', 'local', 'specialty', 'large', 'hand', 'tossed', 'slice']","['hawaiian', 'local', 'specialti', 'larg', 'hand', 'toss', 'slice']"
615,American Chicken Club *Local Specialty* - Large Original Pan Slice,Pizza Hut,0,"['american', 'chicken', 'club', 'local', 'specialty', 'large', 'original', 'pan', 'slice']","['american', 'chicken', 'club', 'local', 'specialti', 'larg', 'origin', 'pan', 'slice']"
616,Taco Pizza *Local Specialty* - Large Original Pan Slice,Pizza Hut,0,"['taco', 'pizza', 'local', 'specialty', 'large', 'original', 'pan', 'slice']","['taco', 'pizza', 'local', 'specialti', 'larg', 'origin', 'pan', 'slice']"
617,Garden Chicken *Local Specialty* - Small Original Pan Slice,Pizza Hut,1,"['garden', 'chicken', 'local', 'specialty', 'small', 'original', 'pan', 'slice']","['garden', 'chicken', 'local', 'specialti', 'small', 'origin', 'pan', 'slice']"
618,Garden Fresh *Local Specialty* - Large Original Pan Slice,Pizza Hut,1,"['garden', 'fresh', 'local', 'specialty', 'large', 'original', 'pan', 'slice']","['garden', 'fresh', 'local', 'specialti', 'larg', 'origin', 'pan', 'slice']"
619,Taco Pizza *Local Specialty* - Medium Thin 'N Crispy Slice,Pizza Hut,1,"['taco', 'pizza', 'local', 'specialty', 'medium', 'thin', 'n', 'crispy', 'slice']","['taco', 'pizza', 'local', 'specialti', 'medium', 'thin', 'n', 'crispi', 'slice']"
620,BBQ Lover's *Local Specialty* - Small Thin 'N Crispy Slice,Pizza Hut,1,"['bbq', 'lovers', 'local', 'specialty', 'small', 'thin', 'n', 'crispy', 'slice']","['bbq', 'lover', 'local', 'specialti', 'small', 'thin', 'n', 'crispi', 'slice']"
621,Garden Chicken *Local Specialty* - Medium Hand Tossed Slice,Pizza Hut,1,"['garden', 'chicken', 'local', 'specialty', 'medium', 'hand', 'tossed', 'slice']","['garden', 'chicken', 'local', 'specialti', 'medium', 'hand', 'toss', 'slice']"
622,Badger Special *Local Specialty* - Large Hand Tossed Slice,Pizza Hut,1,"['badger', 'special', 'local', 'specialty', 'large', 'hand', 'tossed', 'slice']","['badger', 'special', 'local', 'specialti', 'larg', 'hand', 'toss', 'slice']"
623,Badger Special *Local Specialty* - Small Original Pan Slice,Pizza Hut,1,"['badger', 'special', 'local', 'specialty', 'small', 'original', 'pan', 'slice']","['badger', 'special', 'local', 'specialti', 'small', 'origin', 'pan', 'slice']"
624,Breadstick Appetizer Sampler *Local Specialty*,Pizza Hut,0,"['breadstick', 'appetizer', 'sampler', 'local', 'specialty']","['breadstick', 'appet', 'sampler', 'local', 'specialti']"
625,Smaller Appetite Sauteed Spaghetti with Marinara w/ Garlic Bread,Pizza Hut,0,"['smaller', 'appetite', 'sauteed', 'spaghetti', 'with', 'marinara', 'w', 'garlic', 'bread']","['smaller', 'appetit', 'saute', 'spaghetti', 'marinara', 'w', 'garlic', 'bread']"
626,Sauteed Bacon Carbonara w/ Garlic Bread,Pizza Hut,0,"['sauteed', 'bacon', 'carbonara', 'w', 'garlic', 'bread']","['saute', 'bacon', 'carbonara', 'w', 'garlic', 'bread']"
627,Creamy Caesar Dressing for Entree/Shared Salad,Pizza Hut,0,"['creamy', 'caesar', 'dressing', 'for', 'entreeshared', 'salad']","['creami', 'caesar', 'dress', 'entreeshar', 'salad']"
628,General Tso's Dressing for Entree/Shared Salad,Pizza Hut,1,"['general', 'tsos', 'dressing', 'for', 'entreeshared', 'salad']","['gener', 'tso', 'dress', 'entreeshar', 'salad']"
629,Balsamic Vinaigrette Dressing for Side/Small Salad,Pizza Hut,1,"['balsamic', 'vinaigrette', 'dressing', 'for', 'sidesmall', 'salad']","['balsam', 'vinaigrett', 'dress', 'sidesmal', 'salad']"
630,Sauteed Chicken Alfredo w/ Garlic Bread,Pizza Hut,0,"['sauteed', 'chicken', 'alfredo', 'w', 'garlic', 'bread']","['saute', 'chicken', 'alfredo', 'w', 'garlic', 'bread']"
631,BBQ Chicken (w/ cheddar cheese) - Personal Pan Pizza Slice,Pizza Hut,1,"['bbq', 'chicken', 'w', 'cheddar', 'cheese', 'personal', 'pan', 'pizza', 'slice']","['bbq', 'chicken', 'w', 'cheddar', 'chees', 'person', 'pan', 'pizza', 'slice']"
632,Bacon Cheeseburger (w/ cheddar cheese) - Personal Pan Pizza Slice,Pizza Hut,1,"['bacon', 'cheeseburger', 'w', 'cheddar', 'cheese', 'personal', 'pan', 'pizza', 'slice']","['bacon', 'cheeseburg', 'w', 'cheddar', 'chees', 'person', 'pan', 'pizza', 'slice']"
633,"Sausage, Egg & Cheese Biscuit",Pizza Hut,0,"['sausage', 'egg', 'cheese', 'biscuit']","['sausag', 'egg', 'chees', 'biscuit']"
634,Supreme - Big New Yorker Slice,Pizza Hut,1,"['supreme', 'big', 'new', 'yorker', 'slice']","['suprem', 'big', 'new', 'yorker', 'slice']"
635,Ultimate Cheese Lover's - Big New Yorker Slice,Pizza Hut,1,"['ultimate', 'cheese', 'lovers', 'big', 'new', 'yorker', 'slice']","['ultim', 'chees', 'lover', 'big', 'new', 'yorker', 'slice']"
636,Buffalo Burnin' Hot Sauce (per 1 Traditional Wing),Pizza Hut,1,"['buffalo', 'burnin', 'hot', 'sauce', 'per', '1', 'traditional', 'wing']","['buffalo', 'burnin', 'hot', 'sauc', 'per', '1', 'tradit', 'wing']"
637,Honey BBQ Sauce (per 1 Bone Out Wing),Pizza Hut,1,"['honey', 'bbq', 'sauce', 'per', '1', 'bone', 'out', 'wing']","['honey', 'bbq', 'sauc', 'per', '1', 'bone', 'wing']"
638,Hawaiian Teriyaki Sauce (per 1 Bone Out Wing),Pizza Hut,1,"['hawaiian', 'teriyaki', 'sauce', 'per', '1', 'bone', 'out', 'wing']","['hawaiian', 'teriyaki', 'sauc', 'per', '1', 'bone', 'wing']"
639,Buffalo Medium Sauce (per 1 Bone Out Wing),Pizza Hut,1,"['buffalo', 'medium', 'sauce', 'per', '1', 'bone', 'out', 'wing']","['buffalo', 'medium', 'sauc', 'per', '1', 'bone', 'wing']"
640,Buffalo Burnin' Hot Sauce (per 1 Bone Out Wing),Pizza Hut,1,"['buffalo', 'burnin', 'hot', 'sauce', 'per', '1', 'bone', 'out', 'wing']","['buffalo', 'burnin', 'hot', 'sauc', 'per', '1', 'bone', 'wing']"
641,Hot Cinnamon Apple Pie Caramel Sauce (3 oz),Pizza Hut,0,"['hot', 'cinnamon', 'apple', 'pie', 'caramel', 'sauce', '3', 'oz']","['hot', 'cinnamon', 'appl', 'pie', 'caramel', 'sauc', '3', 'oz']"
642,Pepperoni - Small Express Hand Tossed Pizza,Pizza Hut,1,"['pepperoni', 'small', 'express', 'hand', 'tossed', 'pizza']","['pepperoni', 'small', 'express', 'hand', 'toss', 'pizza']"
643,Extra Pizza BBQ Dipping Sauce,Pizza Hut,0,"['extra', 'pizza', 'bbq', 'dipping', 'sauce']","['extra', 'pizza', 'bbq', 'dip', 'sauc']"
644,Lemon Pepper Rub - Traditional Bone-In Wing (each),Pizza Hut,1,"['lemon', 'pepper', 'rub', 'traditional', 'bonein', 'wing', 'each']","['lemon', 'pepper', 'rub', 'tradit', 'bonein', 'wing']"
645,Mountain Dew (2 L),Pizza Hut,0,"['mountain', 'dew', '2', 'l']","['mountain', 'dew', '2', 'l']"
646,Ranch Dipping Sauce,Pizza Hut,1,"['ranch', 'dipping', 'sauce']","['ranch', 'dip', 'sauc']"
647,Nashville Hot Bone-Out Wing (Each),Pizza Hut,1,"['nashville', 'hot', 'boneout', 'wing', 'each']","['nashvil', 'hot', 'boneout', 'wing']"
648,Crushed Red Pepper Packet,Pizza Hut,1,"['crushed', 'red', 'pepper', 'packet']","['crush', 'red', 'pepper', 'packet']"
649,The Great Beyond Pizza - Large Hand Tossed Slice,Pizza Hut,1,"['the', 'great', 'beyond', 'pizza', 'large', 'hand', 'tossed', 'slice']","['great', 'beyond', 'pizza', 'larg', 'hand', 'toss', 'slice']"
650,"Sicilian Pizza, Red Onions",Anthony's Pizza & Pasta,1,"['sicilian', 'pizza', 'red', 'onions']","['sicilian', 'pizza', 'red', 'onion']"
651,"Spaghetti or Penne Noodles, 8 oz",Anthony's Pizza & Pasta,1,"['spaghetti', 'or', 'penne', 'noodles', '8', 'oz']","['spaghetti', 'penn', 'noodl', '8', 'oz']"
652,"Sicilian Pizza, Feta",Anthony's Pizza & Pasta,1,"['sicilian', 'pizza', 'feta']","['sicilian', 'pizza', 'feta']"
653,Sammy's Burger,Sam & Louie's NY Pizza,0,"['sammys', 'burger']","['sammi', 'burger']"
654,"Veggie Calzone, Small",Sam & Louie's NY Pizza,1,"['veggie', 'calzone', 'small']","['veggi', 'calzon', 'small']"
655,"Original Calzone, Large",Sam & Louie's NY Pizza,1,"['original', 'calzone', 'large']","['origin', 'calzon', 'larg']"
656,"Original Calzone, Individual",Sam & Louie's NY Pizza,0,"['original', 'calzone', 'individual']","['origin', 'calzon', 'individu']"
657,Bar-B-Que Chicken Sandwich,Sam & Louie's NY Pizza,0,"['barbque', 'chicken', 'sandwich']","['barbqu', 'chicken', 'sandwich']"
658,Potato Chips,Sam & Louie's NY Pizza,1,"['potato', 'chips']","['potato', 'chip']"
659,California 10 inch Gluten-Free Pizza,Sam & Louie's NY Pizza,0,"['california', '10', 'inch', 'glutenfree', 'pizza']","['california', '10', 'inch', 'glutenfre', 'pizza']"
660,T-Rex 10 inch Gluten-Free Pizza,Sam & Louie's NY Pizza,0,"['trex', '10', 'inch', 'glutenfree', 'pizza']","['trex', '10', 'inch', 'glutenfre', 'pizza']"
661,Philly Hoagie,Sam & Louie's NY Pizza,0,"['philly', 'hoagie']","['philli', 'hoagi']"
662,Kids Spaghetti with Meatball,Sam & Louie's NY Pizza,0,"['kids', 'spaghetti', 'with', 'meatball']","['kid', 'spaghetti', 'meatbal']"
663,"Pepperoni Pizza, 12 inch",Sam & Louie's NY Pizza,1,"['pepperoni', 'pizza', '12', 'inch']","['pepperoni', 'pizza', '12', 'inch']"
664,"Buffalo Jack Pizza, 12 inch",Sam & Louie's NY Pizza,1,"['buffalo', 'jack', 'pizza', '12', 'inch']","['buffalo', 'jack', 'pizza', '12', 'inch']"
665,"Fireball Pizza, 12 inch",Sam & Louie's NY Pizza,1,"['fireball', 'pizza', '12', 'inch']","['firebal', 'pizza', '12', 'inch']"
666,"T-Rex Pizza, 12 inch",Sam & Louie's NY Pizza,1,"['trex', 'pizza', '12', 'inch']","['trex', 'pizza', '12', 'inch']"
667,"Veggie Pizza, 12 inch",Sam & Louie's NY Pizza,1,"['veggie', 'pizza', '12', 'inch']","['veggi', 'pizza', '12', 'inch']"
668,"Pepperoni Pizza, 16 inch",Sam & Louie's NY Pizza,1,"['pepperoni', 'pizza', '16', 'inch']","['pepperoni', 'pizza', '16', 'inch']"
669,"Bacon Cheeseburger Pizza, 16 inch",Sam & Louie's NY Pizza,0,"['bacon', 'cheeseburger', 'pizza', '16', 'inch']","['bacon', 'cheeseburg', 'pizza', '16', 'inch']"
670,"Carnivore Pizza, 16 inch",Sam & Louie's NY Pizza,0,"['carnivore', 'pizza', '16', 'inch']","['carnivor', 'pizza', '16', 'inch']"
671,"Luau Pizza, 16 inch",Sam & Louie's NY Pizza,0,"['luau', 'pizza', '16', 'inch']","['luau', 'pizza', '16', 'inch']"
672,"Canadian Bacon Pizza, 18 inch",Sam & Louie's NY Pizza,1,"['canadian', 'bacon', 'pizza', '18', 'inch']","['canadian', 'bacon', 'pizza', '18', 'inch']"
673,"5 Cheese Pizza, 18 inch",Sam & Louie's NY Pizza,1,"['5', 'cheese', 'pizza', '18', 'inch']","['5', 'chees', 'pizza', '18', 'inch']"
674,"Bacon Cheeseburger Pizza, 18 inch",Sam & Louie's NY Pizza,1,"['bacon', 'cheeseburger', 'pizza', '18', 'inch']","['bacon', 'cheeseburg', 'pizza', '18', 'inch']"
675,"Carnivore Pizza, 18 inch",Sam & Louie's NY Pizza,0,"['carnivore', 'pizza', '18', 'inch']","['carnivor', 'pizza', '18', 'inch']"
676,"Chicken Cordon Blue Pizza, 18 inch",Sam & Louie's NY Pizza,0,"['chicken', 'cordon', 'blue', 'pizza', '18', 'inch']","['chicken', 'cordon', 'blue', 'pizza', '18', 'inch']"
677,"Manhattan Pizza, 18 inch",Sam & Louie's NY Pizza,0,"['manhattan', 'pizza', '18', 'inch']","['manhattan', 'pizza', '18', 'inch']"
678,"Bacon Cheeseburger Gluten-Free Pizza, Slice",Sam & Louie's NY Pizza,1,"['bacon', 'cheeseburger', 'glutenfree', 'pizza', 'slice']","['bacon', 'cheeseburg', 'glutenfre', 'pizza', 'slice']"
679,"Chicken Cordon Bleu Gluten-Free Pizza, Slice",Sam & Louie's NY Pizza,1,"['chicken', 'cordon', 'bleu', 'glutenfree', 'pizza', 'slice']","['chicken', 'cordon', 'bleu', 'glutenfre', 'pizza', 'slice']"
680,"Philly Gluten-Free Pizza, Slice",Sam & Louie's NY Pizza,1,"['philly', 'glutenfree', 'pizza', 'slice']","['philli', 'glutenfre', 'pizza', 'slice']"
681,"Cheese Tortellini, Lunch",Sam & Louie's NY Pizza,0,"['cheese', 'tortellini', 'lunch']","['chees', 'tortellini', 'lunch']"
682,Chicken Parmesan,Sam & Louie's NY Pizza,0,"['chicken', 'parmesan']","['chicken', 'parmesan']"
683,Manicotti,Sam & Louie's NY Pizza,0,['manicotti'],['manicotti']
684,Light Italian Dressing,Sam & Louie's NY Pizza,0,"['light', 'italian', 'dressing']","['light', 'italian', 'dress']"
685,"House Salad, Small",Sam & Louie's NY Pizza,1,"['house', 'salad', 'small']","['hous', 'salad', 'small']"
686,Bacon Cheeseburger Pizza By The Slice,Sam & Louie's NY Pizza,0,"['bacon', 'cheeseburger', 'pizza', 'by', 'the', 'slice']","['bacon', 'cheeseburg', 'pizza', 'slice']"
687,BBQ Chicken Pizza By The Slice,Sam & Louie's NY Pizza,0,"['bbq', 'chicken', 'pizza', 'by', 'the', 'slice']","['bbq', 'chicken', 'pizza', 'slice']"
688,Chicken Bacon Ranch Pizza By The Slice,Sam & Louie's NY Pizza,0,"['chicken', 'bacon', 'ranch', 'pizza', 'by', 'the', 'slice']","['chicken', 'bacon', 'ranch', 'pizza', 'slice']"
689,Chicken Thai Pie Pizza By The Slice,Sam & Louie's NY Pizza,0,"['chicken', 'thai', 'pie', 'pizza', 'by', 'the', 'slice']","['chicken', 'thai', 'pie', 'pizza', 'slice']"
690,Philly Pizza By The Slice,Sam & Louie's NY Pizza,0,"['philly', 'pizza', 'by', 'the', 'slice']","['philli', 'pizza', 'slice']"
691,Buffalo Sauce,Sam & Louie's NY Pizza,0,"['buffalo', 'sauce']","['buffalo', 'sauc']"
692,Meatballs,Sam & Louie's NY Pizza,0,['meatballs'],['meatbal']
693,"Carnivore Stromboli, Individual",Sam & Louie's NY Pizza,0,"['carnivore', 'stromboli', 'individual']","['carnivor', 'stromboli', 'individu']"
694,Chicken Fajita Omlette,Scrambler Marie's Breakfast Bistro,0,"['chicken', 'fajita', 'omlette']","['chicken', 'fajita', 'omlett']"
695,Garden Feta Omelette,Scrambler Marie's Breakfast Bistro,0,"['garden', 'feta', 'omelette']","['garden', 'feta', 'omelett']"
696,Jumpstart Breakfast Sandwich,Scrambler Marie's Breakfast Bistro,0,"['jumpstart', 'breakfast', 'sandwich']","['jumpstart', 'breakfast', 'sandwich']"
697,Fiesta Chicken Salad,Scrambler Marie's Breakfast Bistro,1,"['fiesta', 'chicken', 'salad']","['fiesta', 'chicken', 'salad']"
698,Berry Nutty Pancakes Tall Stack,Scrambler Marie's Breakfast Bistro,0,"['berry', 'nutty', 'pancakes', 'tall', 'stack']","['berri', 'nutti', 'pancak', 'tall', 'stack']"
699,Add Chocolate Chips,Scrambler Marie's Breakfast Bistro,0,"['add', 'chocolate', 'chips']","['add', 'chocol', 'chip']"
700,Add Whip Cream,Scrambler Marie's Breakfast Bistro,0,"['add', 'whip', 'cream']","['add', 'whip', 'cream']"
701,Stuffed French Toast,Scrambler Marie's Breakfast Bistro,0,"['stuffed', 'french', 'toast']","['stuf', 'french', 'toast']"
702,"The Lite, Scrambled",Scrambler Marie's Breakfast Bistro,0,"['the', 'lite', 'scrambled']","['lite', 'scrambl']"
703,"The Patriot Biscuits & Gravy, Scrambled",Scrambler Marie's Breakfast Bistro,0,"['the', 'patriot', 'biscuits', 'gravy', 'scrambled']","['patriot', 'biscuit', 'gravi', 'scrambl']"
704,Spinach & Portabella Mushroom Omelette,Scrambler Marie's Breakfast Bistro,0,"['spinach', 'portabella', 'mushroom', 'omelette']","['spinach', 'portabella', 'mushroom', 'omelett']"
705,Three Cheese Omelette,Scrambler Marie's Breakfast Bistro,0,"['three', 'cheese', 'omelette']","['three', 'chees', 'omelett']"
706,Wisconsin Scrambled,Scrambler Marie's Breakfast Bistro,0,"['wisconsin', 'scrambled']","['wisconsin', 'scrambl']"
707,Traditional Benny,Scrambler Marie's Breakfast Bistro,0,"['traditional', 'benny']","['tradit', 'benni']"
708,Flag City Skillet,Scrambler Marie's Breakfast Bistro,0,"['flag', 'city', 'skillet']","['flag', 'citi', 'skillet']"
709,Veggie Delight Omelette,Scrambler Marie's Breakfast Bistro,1,"['veggie', 'delight', 'omelette']","['veggi', 'delight', 'omelett']"
710,"Toast, Rye",Scrambler Marie's Breakfast Bistro,1,"['toast', 'rye']","['toast', 'rye']"
711,"Muffin, Cranberry Orange",Scrambler Marie's Breakfast Bistro,0,"['muffin', 'cranberry', 'orange']","['muffin', 'cranberri', 'orang']"
712,Sausage Links,Scrambler Marie's Breakfast Bistro,1,"['sausage', 'links']","['sausag', 'link']"
713,Garlic Portabella And Swiss Angus Burger,Scrambler Marie's Breakfast Bistro,0,"['garlic', 'portabella', 'and', 'swiss', 'angus', 'burger']","['garlic', 'portabella', 'swiss', 'angu', 'burger']"
714,Monte Cristo,Scrambler Marie's Breakfast Bistro,0,"['monte', 'cristo']","['mont', 'cristo']"
715,1/2 Monte Cristo,Scrambler Marie's Breakfast Bistro,0,"['12', 'monte', 'cristo']","['12', 'mont', 'cristo']"
716,1/2 Pastrami Ruben,Scrambler Marie's Breakfast Bistro,0,"['12', 'pastrami', 'ruben']","['12', 'pastrami', 'ruben']"
717,Italian Wedding Soup,Scrambler Marie's Breakfast Bistro,0,"['italian', 'wedding', 'soup']","['italian', 'wed', 'soup']"
718,Kid's Scrambled Egg,Scrambler Marie's Breakfast Bistro,0,"['kids', 'scrambled', 'egg']","['kid', 'scrambl', 'egg']"
719,Grapefruit Juice,Scrambler Marie's Breakfast Bistro,1,"['grapefruit', 'juice']","['grapefruit', 'juic']"
720,Tomato Juice,Scrambler Marie's Breakfast Bistro,1,"['tomato', 'juice']","['tomato', 'juic']"
721,Tea,Scrambler Marie's Breakfast Bistro,1,['tea'],['tea']
722,Mountain Dew,Scrambler Marie's Breakfast Bistro,0,"['mountain', 'dew']","['mountain', 'dew']"
723,Raspberry Vinaigrette Dressing,Scrambler Marie's Breakfast Bistro,1,"['raspberry', 'vinaigrette', 'dressing']","['raspberri', 'vinaigrett', 'dress']"
724,Club MFP Sandwich on Wheat,My Friend's Place,0,"['club', 'mfp', 'sandwich', 'on', 'wheat']","['club', 'mfp', 'sandwich', 'wheat']"
725,Egg Salad BLT Sandwich on White,My Friend's Place,0,"['egg', 'salad', 'blt', 'sandwich', 'on', 'white']","['egg', 'salad', 'blt', 'sandwich', 'white']"
726,Ham Sandwich on Rye,My Friend's Place,0,"['ham', 'sandwich', 'on', 'rye']","['ham', 'sandwich', 'rye']"
727,Blue Cheese Dressing,My Friend's Place,1,"['blue', 'cheese', 'dressing']","['blue', 'chees', 'dress']"
728,Horseradish Sauce,My Friend's Place,1,"['horseradish', 'sauce']","['horseradish', 'sauc']"
729,"Lite Olive Oil, Balsamic Vinaigrette Dressing",My Friend's Place,1,"['lite', 'olive', 'oil', 'balsamic', 'vinaigrette', 'dressing']","['lite', 'oliv', 'oil', 'balsam', 'vinaigrett', 'dress']"
730,All American Sandwich on French Bread,My Friend's Place,0,"['all', 'american', 'sandwich', 'on', 'french', 'bread']","['american', 'sandwich', 'french', 'bread']"
731,Grilled Chicken Mushroom Melt on French Bread,My Friend's Place,0,"['grilled', 'chicken', 'mushroom', 'melt', 'on', 'french', 'bread']","['grill', 'chicken', 'mushroom', 'melt', 'french', 'bread']"
732,Mini Tuna Melt,My Friend's Place,0,"['mini', 'tuna', 'melt']","['mini', 'tuna', 'melt']"
733,New Yorker Sandwich on Rye with Mustard,My Friend's Place,0,"['new', 'yorker', 'sandwich', 'on', 'rye', 'with', 'mustard']","['new', 'yorker', 'sandwich', 'rye', 'mustard']"
734,Turkey Bacon Sandwich with Creamy Italian Dressing,My Friend's Place,0,"['turkey', 'bacon', 'sandwich', 'with', 'creamy', 'italian', 'dressing']","['turkey', 'bacon', 'sandwich', 'creami', 'italian', 'dress']"
735,Kids Ham Sandwich,My Friend's Place,0,"['kids', 'ham', 'sandwich']","['kid', 'ham', 'sandwich']"
736,Chicken Caesar Salad,My Friend's Place,0,"['chicken', 'caesar', 'salad']","['chicken', 'caesar', 'salad']"
737,Side of Cole Slaw,My Friend's Place,0,"['side', 'of', 'cole', 'slaw']","['side', 'cole', 'slaw']"
738,Tuna Salad Salad,My Friend's Place,0,"['tuna', 'salad', 'salad']","['tuna', 'salad', 'salad']"
739,Chicken Salad Sandwich on Wheat,My Friend's Place,0,"['chicken', 'salad', 'sandwich', 'on', 'wheat']","['chicken', 'salad', 'sandwich', 'wheat']"
740,Tuna and Egg Salad Sandwich on Wheat,My Friend's Place,0,"['tuna', 'and', 'egg', 'salad', 'sandwich', 'on', 'wheat']","['tuna', 'egg', 'salad', 'sandwich', 'wheat']"
741,Californian Wrap without Dressing,My Friend's Place,0,"['californian', 'wrap', 'without', 'dressing']","['californian', 'wrap', 'without', 'dress']"
742,Southwest Turkey Wrap with Ranch Dressing,My Friend's Place,0,"['southwest', 'turkey', 'wrap', 'with', 'ranch', 'dressing']","['southwest', 'turkey', 'wrap', 'ranch', 'dress']"
743,Vegetable Beef Barley,My Friend's Place,0,"['vegetable', 'beef', 'barley']","['veget', 'beef', 'barley']"
744,Onion Rings,Happi House Restaurant,0,"['onion', 'rings']","['onion', 'ring']"
745,"Happi Rice Bowl, Chicken",Happi House Restaurant,0,"['happi', 'rice', 'bowl', 'chicken']","['happi', 'rice', 'bowl', 'chicken']"
746,"Happi Rice Bowl, Pork",Happi House Restaurant,0,"['happi', 'rice', 'bowl', 'pork']","['happi', 'rice', 'bowl', 'pork']"
747,"Kids Meal, Beef",Happi House Restaurant,1,"['kids', 'meal', 'beef']","['kid', 'meal', 'beef']"
748,Shrimp Tempura,Happi House Restaurant,0,"['shrimp', 'tempura']","['shrimp', 'tempura']"
749,"Sandwich, Pork",Happi House Restaurant,0,"['sandwich', 'pork']","['sandwich', 'pork']"
750,"Broccoli Cheddar Soup, Bowl",Panera Bread,0,"['broccoli', 'cheddar', 'soup', 'bowl']","['broccoli', 'cheddar', 'soup', 'bowl']"
751,"Souffle, Spinach & Bacon",Panera Bread,0,"['souffle', 'spinach', 'bacon']","['souffl', 'spinach', 'bacon']"
752,Classic White Loaf,Panera Bread,1,"['classic', 'white', 'loaf']","['classic', 'white', 'loaf']"
753,French Baguette,Panera Bread,1,"['french', 'baguette']","['french', 'baguett']"
754,"Greek Dressing, Whole",Panera Bread,0,"['greek', 'dressing', 'whole']","['greek', 'dress', 'whole']"
755,Kids Ham on White Whole Grain,Panera Bread,0,"['kids', 'ham', 'on', 'white', 'whole', 'grain']","['kid', 'ham', 'white', 'whole', 'grain']"
756,"Napa Almond Chicken Salad on Country Rustic Sourdough, Whole",Panera Bread,0,"['napa', 'almond', 'chicken', 'salad', 'on', 'country', 'rustic', 'sourdough', 'whole']","['napa', 'almond', 'chicken', 'salad', 'countri', 'rustic', 'sourdough', 'whole']"
757,"Roasted Turkey & Avocado Blt on Country Rustic Sourdough, Half",Panera Bread,1,"['roasted', 'turkey', 'avocado', 'blt', 'on', 'country', 'rustic', 'sourdough', 'half']","['roast', 'turkey', 'avocado', 'blt', 'countri', 'rustic', 'sourdough', 'half']"
758,Whole Grain Lahvash,Panera Bread,1,"['whole', 'grain', 'lahvash']","['whole', 'grain', 'lahvash']"
759,Scrambled Egg & Cheese on Artisan Ciabatta,Panera Bread,0,"['scrambled', 'egg', 'cheese', 'on', 'artisan', 'ciabatta']","['scrambl', 'egg', 'chees', 'artisan', 'ciabatta']"
760,"Asiago Bacon, Egg & Cheese on Asiago Cheese Bagel",Panera Bread,0,"['asiago', 'bacon', 'egg', 'cheese', 'on', 'asiago', 'cheese', 'bagel']","['asiago', 'bacon', 'egg', 'chees', 'asiago', 'chees', 'bagel']"
761,"Chicken Noodle Soup, Cup",Panera Bread,0,"['chicken', 'noodle', 'soup', 'cup']","['chicken', 'noodl', 'soup', 'cup']"
762,Greek Yogurt with Mixed Berries,Panera Bread,1,"['greek', 'yogurt', 'with', 'mixed', 'berries']","['greek', 'yogurt', 'mix', 'berri']"
763,Coconut Macaroon Cookie,Panera Bread,1,"['coconut', 'macaroon', 'cookie']","['coconut', 'macaroon', 'cooki']"
764,Lemon Drop Flavored Cookie,Panera Bread,0,"['lemon', 'drop', 'flavored', 'cookie']","['lemon', 'drop', 'flavor', 'cooki']"
765,"Green Goddess Cobb Salad with Chicken, Whole",Panera Bread,0,"['green', 'goddess', 'cobb', 'salad', 'with', 'chicken', 'whole']","['green', 'goddess', 'cobb', 'salad', 'chicken', 'whole']"
766,"Drive Thru, Mountain Dew, 32 fl oz",Panera Bread,0,"['drive', 'thru', 'mountain', 'dew', '32', 'fl', 'oz']","['drive', 'thru', 'mountain', 'dew', '32', 'fl', 'oz']"
767,"Drive Thru, Dr. Pepper, 20 fl oz",Panera Bread,1,"['drive', 'thru', 'dr', 'pepper', '20', 'fl', 'oz']","['drive', 'thru', 'dr', 'pepper', '20', 'fl', 'oz']"
768,"Drive Thru, Diet Mountain Dew, 20 fl oz",Panera Bread,1,"['drive', 'thru', 'diet', 'mountain', 'dew', '20', 'fl', 'oz']","['drive', 'thru', 'diet', 'mountain', 'dew', '20', 'fl', 'oz']"
769,"Tropicana Light Lemonade, 32 fl oz",Panera Bread,1,"['tropicana', 'light', 'lemonade', '32', 'fl', 'oz']","['tropicana', 'light', 'lemonad', '32', 'fl', 'oz']"
770,"Drive Thru, Sweet Tea, 32 fl oz",Panera Bread,1,"['drive', 'thru', 'sweet', 'tea', '32', 'fl', 'oz']","['drive', 'thru', 'sweet', 'tea', '32', 'fl', 'oz']"
771,"Cold Brew Coffee, 20 fl oz",Panera Bread,1,"['cold', 'brew', 'coffee', '20', 'fl', 'oz']","['cold', 'brew', 'coffe', '20', 'fl', 'oz']"
772,Sweet Tea 32 fl oz,Panera Bread,0,"['sweet', 'tea', '32', 'fl', 'oz']","['sweet', 'tea', '32', 'fl', 'oz']"
